create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2023-11-19 00:00:00,BNBUSDT,566074.86000000,138603739.08564466,2.47853403,1.33546519,2.58183976,0.56067544
2023-11-19 00:05:00,BNBUSDT,566146.04000000,138446247.60790586,2.48498845,1.33653056,2.58053412,0.75290938
2023-11-19 00:10:00,BNBUSDT,566251.56000000,138442843.90440000,2.46548488,1.33554036,2.58127962,0.98081943
2023-11-19 00:15:00,BNBUSDT,566188.07000000,138302759.85890000,2.46765442,1.33511553,2.58435092,0.79166839
2023-11-19 00:20:00,BNBUSDT,566066.74000000,138267461.91240000,2.46992481,1.33531311,2.58508241,0.93866540
2023-11-19 00:25:00,BNBUSDT,566116.53000000,138497474.23715216,2.46517932,1.33425242,2.57888508,1.35462546
2023-11-19 00:30:00,BNBUSDT,566024.57000000,138485029.63586363,2.47138680,1.33452429,2.57888508,0.85343834
2023-11-19 00:35:00,BNBUSDT,565941.68000000,138508566.76320000,2.47325533,1.33473246,2.58258294,1.13971745
2023-11-19 00:40:00,BNBUSDT,565868.30000000,138264260.42200000,2.48312723,1.33466079,2.59490961,0.82072061
2023-11-19 00:45:00,BNBUSDT,565962.91000000,138278041.54860070,2.47656904,1.33421812,2.58990499,1.33627051
2023-11-19 00:50:00,BNBUSDT,565871.49000000,138055667.41530000,2.48376963,1.33191363,2.60459852,0.26408216
2023-11-19 00:55:00,BNBUSDT,566025.97000000,137929208.36960000,2.48690002,1.33220927,2.60326346,0.97609948
2023-11-19 01:00:00,BNBUSDT,564525.74000000,137328819.24167085,2.50611556,1.33279731,2.63473342,0.63988292
2023-11-19 01:05:00,BNBUSDT,564374.26000000,137418396.97163755,2.50316056,1.33162848,2.63489771,0.80502260
2023-11-19 01:10:00,BNBUSDT,564442.00000000,137077106.04406312,2.50000000,1.33019293,2.63756933,0.87312874
2023-11-19 01:15:00,BNBUSDT,564146.44000000,137031170.27600000,2.50284750,1.33218411,2.63086360,1.98060278
2023-11-19 01:20:00,BNBUSDT,564241.68000000,137019795.15241470,2.50993238,1.33199151,2.63902615,0.68623080
2023-11-19 01:25:00,BNBUSDT,564327.08000000,137125837.16920000,2.50929447,1.33231168,2.63512700,0.86138141
2023-11-19 01:30:00,BNBUSDT,564583.71000000,136939778.86050000,2.52108498,1.33117891,2.64957678,0.79824039
2023-11-19 01:35:00,BNBUSDT,566091.22000000,137108605.58155155,2.51585624,1.33337852,2.66011883,1.38189936
2023-11-19 01:40:00,BNBUSDT,565696.02000000,137068145.64600000,2.52181279,1.33335031,2.66423978,1.36452329
2023-11-19 01:45:00,BNBUSDT,566534.89000000,137492892.79808202,2.50495258,1.32958017,2.65778316,1.94963768
2023-11-19 01:50:00,BNBUSDT,566030.86000000,137522857.74560000,2.52288136,1.32946185,2.67230264,0.89888596
2023-11-19 01:55:00,BNBUSDT,565698.07000000,137504229.87490000,2.52213514,1.32853099,2.67534997,0.58129030
2023-11-19 02:00:00,BNBUSDT,565282.55000000,137413157.50288412,2.51862828,1.32735884,2.67274939,0.45462389
2023-11-19 02:05:00,BNBUSDT,565797.88000000,137645998.87128812,2.51789474,1.32363090,2.67075839,1.58524645
2023-11-19 02:10:00,BNBUSDT,565766.66000000,137718920.37720000,2.51250263,1.32316056,2.66808304,0.68042578
2023-11-19 02:15:00,BNBUSDT,565667.15000000,137356026.17986940,2.50965981,1.32299832,2.66480650,0.68775590
2023-11-19 02:20:00,BNBUSDT,565870.83000000,137083158.42695782,2.52075869,1.32339893,2.67595861,0.72694760
2023-11-19 02:25:00,BNBUSDT,566298.93000000,137438384.96531424,2.51515152,1.32258300,2.67205739,1.37312783
2023-11-19 02:30:00,BNBUSDT,566553.95000000,137621619.99450000,2.51726316,1.32258937,2.67628088,1.18738786
2023-11-19 02:35:00,BNBUSDT,566566.81000000,137827297.94453064,2.51208745,1.32248983,2.67209726,1.10745185
2023-11-19 02:40:00,BNBUSDT,566515.25000000,137838504.92051095,2.50419463,1.32152554,2.66662620,1.06560065
2023-11-19 02:45:00,BNBUSDT,566270.95000000,137824686.52050000,2.50839983,1.32112753,2.66614059,0.50605709
2023-11-19 02:50:00,BNBUSDT,566498.10000000,138032927.04600000,2.50272765,1.32104810,2.66116905,1.28850521
2023-11-19 02:55:00,BNBUSDT,566420.07000000,137937694.02444345,2.50283435,1.32139291,2.66108482,0.86124042
2023-11-19 03:00:00,BNBUSDT,566334.66000000,137888469.98788813,2.50683204,1.32173129,2.66241806,0.64151394
2023-11-19 03:05:00,BNBUSDT,566481.66000000,138020804.95863300,2.49727463,1.32093852,2.66160942,1.05082373
2023-11-19 03:10:00,BNBUSDT,566746.09000000,138083047.33227172,2.50062919,1.32143547,2.66249848,1.10437292
2023-11-19 03:15:00,BNBUSDT,566990.80000000,138259062.86800090,2.49246862,1.32221542,2.65234233,1.49786390
2023-11-19 03:20:00,BNBUSDT,566976.66000000,138058816.71000000,2.49267476,1.32245613,2.65547746,0.84322356
2023-11-19 03:25:00,BNBUSDT,566849.38000000,137976807.58580000,2.49581240,1.32175358,2.66411565,0.38572512
2023-11-19 03:30:00,BNBUSDT,566790.70000000,137815158.70500000,2.51430976,1.32278608,2.67552090,0.50519865
2023-11-19 03:35:00,BNBUSDT,566723.87000000,137838157.07807910,2.50977507,1.32390149,2.66881537,0.80638587
2023-11-19 03:40:00,BNBUSDT,566679.33000000,138179281.92053732,2.50104866,1.32315971,2.66589694,1.85003282
2023-11-19 03:45:00,BNBUSDT,566617.97000000,138113130.18750000,2.49717159,1.32400068,2.65869934,1.04263456
2023-11-19 03:50:00,BNBUSDT,566662.48000000,138299644.86880000,2.49080268,1.32423848,2.64980639,1.03519132
2023-11-19 03:55:00,BNBUSDT,567027.17000000,138488137.69990665,2.51346801,1.32478887,2.66772075,1.03087175
2023-11-19 04:00:00,BNBUSDT,566793.85000000,138490409.30900000,2.50965575,1.31864490,2.65487155,1.25375124
2023-11-19 04:05:00,BNBUSDT,566567.35000000,138389740.91100000,2.50450828,1.32004244,2.65101077,0.96530883
2023-11-19 04:10:00,BNBUSDT,566575.53000000,138416686.14524645,2.50324879,1.32085594,2.64952819,1.23492425
2023-11-19 04:15:00,BNBUSDT,566555.91000000,138483261.08130000,2.50262000,1.32294567,2.65499273,0.87290821
2023-11-19 04:20:00,BNBUSDT,566668.58000000,138323970.66190830,2.50345839,1.32305407,2.65137393,0.71501167
2023-11-19 04:25:00,BNBUSDT,566634.51000000,138269051.19040206,2.50555905,1.32333021,2.65414445,0.72116072
2023-11-19 04:30:00,BNBUSDT,567727.63000000,138599346.31190000,2.51462234,1.32584792,2.65975003,0.64183791
2023-11-19 04:35:00,BNBUSDT,567616.31000000,138657312.20680000,2.51695094,1.32532486,2.66261989,1.00112976
2023-11-19 04:40:00,BNBUSDT,567388.57000000,138487660.57618827,2.51124658,1.32590632,2.65809893,1.00679553
2023-11-19 04:45:00,BNBUSDT,567278.05000000,138410171.41950000,2.51240538,1.32512583,2.65939129,0.93756764
2023-11-19 04:50:00,BNBUSDT,567227.85000000,138585108.31200000,2.50797649,1.32567145,2.65628786,1.31829722
2023-11-19 04:55:00,BNBUSDT,567349.01000000,138790588.31630000,2.49592136,1.32711072,2.64276228,1.07946180
2023-11-19 05:00:00,BNBUSDT,567091.74000000,138718792.55718580,2.49916248,1.32760975,2.64656110,1.26821869
2023-11-19 05:05:00,BNBUSDT,567176.32000000,138771337.24395730,2.48107321,1.32637047,2.61389685,0.99813042
2023-11-19 05:10:00,BNBUSDT,567028.85000000,138831343.63400000,2.47184708,1.32609469,2.59235896,1.47822099
2023-11-19 05:15:00,BNBUSDT,566792.13000000,138626019.15540000,2.47483361,1.32482668,2.59297619,0.70283750
2023-11-19 05:20:00,BNBUSDT,566905.87000000,138611875.18738330,2.48281608,1.32470627,2.60386128,1.01174312
2023-11-19 05:25:00,BNBUSDT,566752.14000000,138632063.02775222,2.48270833,1.32539491,2.60243118,0.71229650
2023-11-19 05:30:00,BNBUSDT,566712.64000000,138731254.27200000,2.48343405,1.32619191,2.60278870,0.94076141
2023-11-19 05:35:00,BNBUSDT,566570.51000000,138520823.98990000,2.48789649,1.32717119,2.60431569,0.47995468
2023-11-19 05:40:00,BNBUSDT,567226.83000000,138510798.69210413,2.50356245,1.32775950,2.61929846,0.53441907
2023-11-19 05:45:00,BNBUSDT,567369.38000000,138591318.45260000,2.50041876,1.32803510,2.61477762,0.70682080
2023-11-19 05:50:00,BNBUSDT,567317.39000000,138563803.36166015,2.49968600,1.32824257,2.61136988,0.77889244
2023-11-19 05:55:00,BNBUSDT,567263.00000000,138455266.68080586,2.49780289,1.32843238,2.60890321,0.59112240
2023-11-19 06:00:00,BNBUSDT,567277.32000000,138430334.14697215,2.50314334,1.32894082,2.61256419,0.91121777
2023-11-19 06:05:00,BNBUSDT,567355.54000000,138661693.97600000,2.49435855,1.32734872,2.59031150,1.13565221
2023-11-19 06:10:00,BNBUSDT,567071.35000000,138706896.98832038,2.48148148,1.32868898,2.57748141,1.41174901
2023-11-19 06:15:00,BNBUSDT,567244.08000000,138551185.47053936,2.49102671,1.32838804,2.58856263,0.48415695
2023-11-19 06:20:00,BNBUSDT,567394.85000000,138587468.97787043,2.49060935,1.32830766,2.58728844,0.95959852
2023-11-19 06:25:00,BNBUSDT,567446.05000000,138627574.16811758,2.49154665,1.32891226,2.58658623,0.79795869
2023-11-19 06:30:00,BNBUSDT,567509.32000000,138534700.10520000,2.49435855,1.32920932,2.58981646,0.63876968
2023-11-19 06:35:00,BNBUSDT,567577.71000000,138605588.11813912,2.49529977,1.32903377,2.58729595,1.39683590
2023-11-19 06:40:00,BNBUSDT,567448.00000000,138678616.72000000,2.49655172,1.32921861,2.58982249,1.57415422
2023-11-19 06:45:00,BNBUSDT,567526.65000000,138782798.24262590,2.49885009,1.32980411,2.58758865,0.88621863
2023-11-19 06:50:00,BNBUSDT,567631.33000000,138919035.14571947,2.49968626,1.33023165,2.58219178,0.95726355
2023-11-19 06:55:00,BNBUSDT,568953.01000000,138928938.72264895,2.53091369,1.33186236,2.60451306,0.46363707
2023-11-19 07:00:00,BNBUSDT,569022.01000000,138938104.18170000,2.52103492,1.33323101,2.60149484,0.53057859
2023-11-19 07:05:00,BNBUSDT,568978.48000000,138796610.41120000,2.52197687,1.33428117,2.60448558,0.54650377
2023-11-19 07:10:00,BNBUSDT,569264.50000000,139094087.93000000,2.52292806,1.33424474,2.60788505,1.49482652
2023-11-19 07:15:00,BNBUSDT,569226.95000000,139101745.44221625,2.52536308,1.33564195,2.60685891,1.02500625
2023-11-19 07:20:00,BNBUSDT,569000.52000000,139045134.72857875,2.53716216,1.33639552,2.61321764,1.00972591
2023-11-19 07:25:00,BNBUSDT,569105.99000000,139037754.39710940,2.53630224,1.33640035,2.61362016,1.14283876
2023-11-19 07:30:00,BNBUSDT,569333.43000000,139162170.29490000,2.53565401,1.33699346,2.61440628,1.15424501
2023-11-19 07:35:00,BNBUSDT,569481.60000000,139277094.71418768,2.52587295,1.33641422,2.60935090,1.27046076
2023-11-19 07:40:00,BNBUSDT,569497.98000000,139254347.33232763,2.51889962,1.33656971,2.60080502,1.56504917
2023-11-19 07:45:00,BNBUSDT,569282.83000000,139263658.70290000,2.51932773,1.33651033,2.60189461,1.38855596
2023-11-19 07:50:00,BNBUSDT,569318.69000000,139107328.71460000,2.52016807,1.33680728,2.60587399,0.59515422
2023-11-19 07:55:00,BNBUSDT,569357.75000000,139321841.42500000,2.51795087,1.33612020,2.60265057,1.55850850
2023-11-19 08:00:00,BNBUSDT,568840.05000000,139035942.00170782,2.52174827,1.33561039,2.60803603,0.43049285
2023-11-19 08:05:00,BNBUSDT,568824.43000000,139157208.55520000,2.51868178,1.33575670,2.60718095,0.98286307
2023-11-19 08:10:00,BNBUSDT,568991.25000000,139228121.27326062,2.52248844,1.33525838,2.60827308,1.67242195
2023-11-19 08:15:00,BNBUSDT,568754.68000000,139270334.74403000,2.51952961,1.33477167,2.60632626,1.19381365
2023-11-19 08:20:00,BNBUSDT,568729.01000000,139230548.93810000,2.52206810,1.33503753,2.60509177,0.60319894
2023-11-19 08:25:00,BNBUSDT,568802.06000000,139356504.70000000,2.51257334,1.33286911,2.59855655,1.64813341
2023-11-19 08:30:00,BNBUSDT,568918.86000000,139333918.00260000,2.51446541,1.33365183,2.60042583,0.77859828
2023-11-19 08:35:00,BNBUSDT,569583.69000000,139556806.55582870,2.50868383,1.33453768,2.59452119,1.72569871
2023-11-19 08:40:00,BNBUSDT,569438.87000000,139506036.14794806,2.50459674,1.33387221,2.59435855,0.92630506
2023-11-19 08:45:00,BNBUSDT,568932.00000000,139308689.52000000,2.50983675,1.33385080,2.59895956,0.55939606
2023-11-19 08:50:00,BNBUSDT,568570.91000000,139100873.13150000,2.51026393,1.33377837,2.59716312,0.55885082
2023-11-19 08:55:00,BNBUSDT,568520.50000000,139156762.78500000,2.50606695,1.33294060,2.59489784,1.16609825
2023-11-19 09:00:00,BNBUSDT,568252.90000000,139021604.87534532,2.50533361,1.33234389,2.59487543,0.52358392
2023-11-19 09:05:00,BNBUSDT,568480.98000000,138987914.80020000,2.50795978,1.33289319,2.59442542,0.99086005
2023-11-19 09:10:00,BNBUSDT,568593.88000000,139073557.81144965,2.51279899,1.33347743,2.59917209,0.96175761
2023-11-19 09:15:00,BNBUSDT,568405.58000000,138969480.25420000,2.51269675,1.33396788,2.59973971,1.12416295
2023-11-19 09:20:00,BNBUSDT,568496.49000000,138969113.07272800,2.51490970,1.33297667,2.59995269,0.92590687
2023-11-19 09:25:00,BNBUSDT,568523.23000000,139134690.07790000,2.51343409,1.33275120,2.59997634,1.33380940
2023-11-19 09:30:00,BNBUSDT,568340.99000000,139055990.02330000,2.51311647,1.33248745,2.60222564,0.90916634
2023-11-19 09:35:00,BNBUSDT,568603.58000000,139149429.41799137,2.51216953,1.33243100,2.60104117,1.10525774
2023-11-19 09:40:00,BNBUSDT,568640.29000000,139151965.36590000,2.51195971,1.33257252,2.60175106,0.72902813
2023-11-19 09:45:00,BNBUSDT,568774.06000000,139284250.68167198,2.51058922,1.33195706,2.60295858,1.44375762
2023-11-19 09:50:00,BNBUSDT,568678.40000000,139241719.42736486,2.51384809,1.33257338,2.60028382,0.55628887
2023-11-19 09:55:00,BNBUSDT,568575.26000000,139022336.82260000,2.52018503,1.33388603,2.60213018,0.41456411
2023-11-19 10:00:00,BNBUSDT,568643.13000000,139148683.88912907,2.51448363,1.33359039,2.60007097,2.04868836
2023-11-19 10:05:00,BNBUSDT,568573.65000000,139060177.89159814,2.51585801,1.33374426,2.60075731,0.82559651
2023-11-19 10:10:00,BNBUSDT,568641.33000000,138896331.26580000,2.51840168,1.33375121,2.61087369,0.61201205
2023-11-19 10:15:00,BNBUSDT,568308.85000000,138809416.45458510,2.51936027,1.33445504,2.60400616,0.84232198
2023-11-19 10:20:00,BNBUSDT,567815.14000000,138632007.83815572,2.52921325,1.33641419,2.61918362,0.43921417
2023-11-19 10:25:00,BNBUSDT,567932.01000000,138567200.20472860,2.52634907,1.33619820,2.61307190,1.25870850
2023-11-19 10:30:00,BNBUSDT,567794.98000000,138314857.12800000,2.53756614,1.33592089,2.63296283,0.66064310
2023-11-19 10:35:00,BNBUSDT,567922.85000000,138442553.14450000,2.53446089,1.33658963,2.63513514,0.71245997
2023-11-19 10:40:00,BNBUSDT,568012.85000000,138328169.36050000,2.54224010,1.33614454,2.64615016,0.45566274
2023-11-19 10:45:00,BNBUSDT,568366.70000000,138376541.98457710,2.54381880,1.33563996,2.64941909,0.88381204
2023-11-19 10:50:00,BNBUSDT,568379.89000000,138366400.42160000,2.54381880,1.33569734,2.64994012,1.00212253
2023-11-19 10:55:00,BNBUSDT,568195.45000000,138378319.89300000,2.55037116,1.33522218,2.65284602,0.91331927
2023-11-19 11:00:00,BNBUSDT,568283.46000000,138234951.64500000,2.54844181,1.33507122,2.65360652,0.87394193
2023-11-19 11:05:00,BNBUSDT,568257.66000000,138251406.10140000,2.53440270,1.33482609,2.64991625,0.92083567
2023-11-19 11:10:00,BNBUSDT,567980.97000000,138181871.42475897,2.53300991,1.33337793,2.65500719,1.50525306
2023-11-19 11:15:00,BNBUSDT,568280.80000000,138188842.13600000,2.53685322,1.33316602,2.65695793,0.76203331
2023-11-19 11:20:00,BNBUSDT,567235.35000000,137753104.74750000,2.54499259,1.33207288,2.67454195,0.59939584
2023-11-19 11:25:00,BNBUSDT,567067.19000000,137613579.86672250,2.53600845,1.33185627,2.67377681,0.97489284
2023-11-19 11:30:00,BNBUSDT,567058.02000000,137585287.39260000,2.53652872,1.33243616,2.67796815,1.06909826
2023-11-19 11:35:00,BNBUSDT,566942.40000000,137715978.38400000,2.54391534,1.33228680,2.68812780,1.65907428
2023-11-19 11:40:00,BNBUSDT,567014.17000000,137869495.43550000,2.54176359,1.33082558,2.69214000,2.11579431
2023-11-19 11:45:00,BNBUSDT,567014.83000000,137943367.84240000,2.54399323,1.32973878,2.69338823,0.86051544
2023-11-19 11:50:00,BNBUSDT,566681.87000000,137964368.07020000,2.54572396,1.33123347,2.69131171,1.68458368
2023-11-19 11:55:00,BNBUSDT,566727.65000000,137930175.45700000,2.54840076,1.33152836,2.69154470,0.60106604
2023-11-19 12:00:00,BNBUSDT,566649.62000000,137877115.13785120,2.54861258,1.33055837,2.71106782,1.22252696
2023-11-19 12:05:00,BNBUSDT,567529.30000000,137959912.36021346,2.56604176,1.33210691,2.72248687,0.48692921
2023-11-19 12:10:00,BNBUSDT,567174.21000000,138026834.80758697,2.55756160,1.33064123,2.71108677,1.64628891
2023-11-19 12:15:00,BNBUSDT,567331.25000000,138128139.43750000,2.55032846,1.33084574,2.70574657,1.24918116
2023-11-19 12:20:00,BNBUSDT,567399.09000000,138104028.35246772,2.55129292,1.32920759,2.71114084,0.52757497
2023-11-19 12:25:00,BNBUSDT,567503.32000000,138026296.25543642,2.55315086,1.32946315,2.70630390,0.90447364
2023-11-19 12:30:00,BNBUSDT,567202.33000000,137874632.00531632,2.54691803,1.32734105,2.71008148,1.32330702
2023-11-19 12:35:00,BNBUSDT,567174.49000000,137868775.02920000,2.53407892,1.32708445,2.70458961,1.14754055
2023-11-19 12:40:00,BNBUSDT,567120.06000000,137940612.19380000,2.53312236,1.32724912,2.69634205,1.02975278
2023-11-19 12:45:00,BNBUSDT,567057.05000000,137925286.27150000,2.53014334,1.32717213,2.69434693,0.73774258
2023-11-19 12:50:00,BNBUSDT,567201.90000000,138110659.91717350,2.53088762,1.32690701,2.69858199,1.01383382
2023-11-19 12:55:00,BNBUSDT,567396.94000000,138127111.07360000,2.53643083,1.32761696,2.70343405,0.58876411
2023-11-19 13:00:00,BNBUSDT,567190.24000000,138110823.44000000,2.53760034,1.32746996,2.70350601,1.30776329
2023-11-19 13:05:00,BNBUSDT,567227.55000000,138202796.75725892,2.54724576,1.32754906,2.71383380,1.47674133
2023-11-19 13:10:00,BNBUSDT,567327.20000000,138242635.60979000,2.54553155,1.32794692,2.71206226,0.74123107
2023-11-19 13:15:00,BNBUSDT,567312.95000000,138143028.08269903,2.54179894,1.32819480,2.71760838,0.65995694
2023-11-19 13:20:00,BNBUSDT,567482.80000000,138057215.58400000,2.55218498,1.32902107,2.72208679,0.57770619
2023-11-19 13:25:00,BNBUSDT,567722.47000000,138177971.97330000,2.54950180,1.32914585,2.72023882,1.33321558
