create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2023-12-24 00:00:00,BNBUSDT,777995.50000000,210650061.58000000,2.14085494,1.27024842,1.80304297,1.16024375
2023-12-24 00:05:00,BNBUSDT,778034.51000000,210568798.89426768,2.14473684,1.27043728,1.80301255,1.18888064
2023-12-24 00:10:00,BNBUSDT,777437.32000000,209659296.45760000,2.15291219,1.26862105,1.80580245,0.49693149
2023-12-24 00:15:00,BNBUSDT,777740.99000000,209971959.93427083,2.15852583,1.26898472,1.80864819,1.38593462
2023-12-24 00:20:00,BNBUSDT,777820.91000000,209803689.67162275,2.15553990,1.26974047,1.80878032,1.06937259
2023-12-24 00:25:00,BNBUSDT,777572.70000000,209796890.18700000,2.15893456,1.26947299,1.81006384,1.04173279
2023-12-24 00:30:00,BNBUSDT,777504.71000000,210230736.66650040,2.15564957,1.26934346,1.80771812,1.39270353
2023-12-24 00:35:00,BNBUSDT,777378.74000000,210483067.64240000,2.15233069,1.26923181,1.80879268,1.29478675
2023-12-24 00:40:00,BNBUSDT,777394.13000000,209856279.34496775,2.15665198,1.26967286,1.80992360,0.79798371
2023-12-24 00:45:00,BNBUSDT,777262.29000000,210481619.33104643,2.15192544,1.26852346,1.80504357,1.38540490
2023-12-24 00:50:00,BNBUSDT,777136.83000000,210433110.82740000,2.14827829,1.26863735,1.80348321,0.99502601
2023-12-24 00:55:00,BNBUSDT,777325.93000000,211091199.41621253,2.14052917,1.26961298,1.79781101,1.19035415
2023-12-24 01:00:00,BNBUSDT,777166.57000000,210811339.68623957,2.13627606,1.26982999,1.79786078,0.90984458
2023-12-24 01:05:00,BNBUSDT,778261.42000000,211652555.40208524,2.13879628,1.26780758,1.79442218,2.01612224
2023-12-24 01:10:00,BNBUSDT,777996.03000000,211518323.66721780,2.14889124,1.26891249,1.80557187,0.72336450
2023-12-24 01:15:00,BNBUSDT,777551.62000000,211214122.05680000,2.14723494,1.26907329,1.80387714,0.54983160
2023-12-24 01:20:00,BNBUSDT,777218.29000000,211022537.91790000,2.15326279,1.26933734,1.80858751,0.90930601
2023-12-24 01:25:00,BNBUSDT,776744.28000000,210831699.92040000,2.15141900,1.26915043,1.80905958,0.90186592
2023-12-24 01:30:00,BNBUSDT,776808.26000000,211427364.89044720,2.14678414,1.26814284,1.80738498,0.97308359
2023-12-24 01:35:00,BNBUSDT,776896.06000000,211175887.02920000,2.14935637,1.26813191,1.81104749,0.69591669
2023-12-24 01:40:00,BNBUSDT,776960.12000000,210937247.00897154,2.14794569,1.26857186,1.80939552,1.10591255
2023-12-24 01:45:00,BNBUSDT,776462.77000000,210304941.25450000,2.15334392,1.26779816,1.81581835,0.76195836
2023-12-24 01:50:00,BNBUSDT,776123.70000000,210365585.65249863,2.15607345,1.26831309,1.81708449,0.58304635
2023-12-24 01:55:00,BNBUSDT,775975.09000000,210328048.14450000,2.15645418,1.26877573,1.81709993,0.68079518
2023-12-24 02:00:00,BNBUSDT,776146.89000000,210514779.32824588,2.15901495,1.26859251,1.81764458,0.92143472
2023-12-24 02:05:00,BNBUSDT,777053.96000000,210932769.35315213,2.16343783,1.27276367,1.82008616,0.66438566
2023-12-24 02:10:00,BNBUSDT,777389.00000000,211154400.18000000,2.16396619,1.27288040,1.82134100,1.01777983
2023-12-24 02:15:00,BNBUSDT,777026.55000000,210959159.19407076,2.16493392,1.27238037,1.82545732,0.61352403
2023-12-24 02:20:00,BNBUSDT,776754.06000000,210604961.79570940,2.16993118,1.27274315,1.82819122,0.57651470
2023-12-24 02:25:00,BNBUSDT,777572.14000000,210714274.21860000,2.16978468,1.27411044,1.82299162,0.76511776
2023-12-24 02:30:00,BNBUSDT,777788.29000000,210803960.23870000,2.17243816,1.27545247,1.82506351,0.86051572
