symbol,create_time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
BNBUSDT,2021-12-01 00:00:00,439107.51666666666,275122567.2068749,2.6463548730964717,0.8686610156416665,2.8671525799248236,0.8990898312083333
BNBUSDT,2021-12-01 01:00:00,440030.8066666666,276099802.1336872,2.5990968425821297,0.8735562119333333,2.8041752406395406,0.8913120814000001
BNBUSDT,2021-12-01 02:00:00,443801.2775,279791766.72776204,2.4886566994762584,0.8802475708583333,2.6922493983274403,1.3082289552416668
BNBUSDT,2021-12-01 03:00:00,446363.60250000004,282582068.2278829,2.3582229858450723,0.8820905227500001,2.526030128497554,0.9412830439666666
BNBUSDT,2021-12-01 04:00:00,445221.1708333334,280980244.11400986,2.3707852368395765,0.8771963385000001,2.5083282731038534,0.9431090777833333
BNBUSDT,2021-12-01 05:00:00,441898.6308333333,278463157.8809559,2.362066563202152,0.8755096841750002,2.4832358565836374,1.3058177797333332
BNBUSDT,2021-12-01 06:00:00,442352.2741666666,278149639.2927274,2.3782594032056976,0.8749038585666667,2.4938207395349097,1.1199740251166665
BNBUSDT,2021-12-01 07:00:00,445466.73,281904237.68505293,2.3505428206234042,0.8762099969333333,2.4587757556811813,1.1096993037666667
BNBUSDT,2021-12-01 08:00:00,456512.36083333334,291339825.30309623,2.1757052117929603,0.890012660075,2.3091544223362948,1.0021187794000002
BNBUSDT,2021-12-01 09:00:00,462347.5474999999,295879499.7094474,2.1635709150866265,0.8892803635333334,2.315804493611408,1.1277807171666667
BNBUSDT,2021-12-01 10:00:00,468192.3300000001,301777426.6339451,2.0317443714946304,0.8850498297416666,2.129455092200259,1.129941053275
BNBUSDT,2021-12-01 11:00:00,467185.875,299282469.6514804,2.1229462397581687,0.8849004104583335,2.190710127263126,1.1863136713416667
BNBUSDT,2021-12-01 12:00:00,466067.0150000001,298386653.42087346,2.1568507586135364,0.8831498408750001,2.230670469914427,0.9082349258583332
BNBUSDT,2021-12-01 13:00:00,464290.635,298038705.7028155,2.191601107562943,0.8852562066833335,2.253216332611404,1.0434051967
BNBUSDT,2021-12-01 14:00:00,467398.44500000007,302546736.65280366,2.0935053775964962,0.8880245401500001,2.125599217588068,0.97017426525
BNBUSDT,2021-12-01 15:00:00,469687.26416666666,303532996.34086615,2.0527321532797638,0.8888700533916668,2.034716801809726,1.0455568891166667
BNBUSDT,2021-12-01 16:00:00,470842.45833333343,304105882.1426084,2.0497572465311813,0.8886848942749999,2.0316828242220715,0.8061477581416666
BNBUSDT,2021-12-01 17:00:00,466892.45333333337,300084250.38799167,2.0549657427669934,0.8869394550583333,2.0329860914413334,1.1551827835666668
BNBUSDT,2021-12-01 18:00:00,465887.3483333333,297330050.2842441,2.0576384904542917,0.8833365452833334,2.056119020752037,0.818304652225
BNBUSDT,2021-12-01 19:00:00,463631.7116666666,294544048.5909062,2.156310783190066,0.8801378687666667,2.1598762738226673,1.0512763287500002
BNBUSDT,2021-12-01 20:00:00,457151.3150000001,288266966.085947,2.272280459088324,0.8739226024,2.2728543878692844,1.1639738876999999
BNBUSDT,2021-12-01 21:00:00,453913.9291666667,282937258.7843503,2.3947430035778328,0.8765447166166666,2.386147934171039,0.9411370791083332
BNBUSDT,2021-12-01 22:00:00,457028.13833333337,284439604.1571042,2.5801865763583662,0.8774479023083334,2.6032015717778307,1.1973637627
