symbol,create_time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
ETHUSDT,2021-12-01 00:00:00,370528.4264166667,1736843626.4218495,1.9917577245650095,0.9827844703083333,1.8130932155022146,1.1672119175083333
ETHUSDT,2021-12-01 01:00:00,373214.832,1755424969.5181887,1.9252177031602555,0.9787976006083335,1.763766737624074,0.8666401913416667
ETHUSDT,2021-12-01 02:00:00,370531.5268333333,1740950723.9707909,1.890027853298852,0.97514775615,1.7348700771240146,1.1415691411
ETHUSDT,2021-12-01 03:00:00,374399.27708333335,1776644456.262124,1.8273296091995197,0.9728106278166665,1.675230266894608,1.0147569464166668
ETHUSDT,2021-12-01 04:00:00,372650.4319166667,1765493526.7929165,1.8170769842887202,0.9731497132749999,1.6648210851384213,0.9338512209000002
ETHUSDT,2021-12-01 05:00:00,370977.489,1750295262.1180582,1.8247261194599778,0.971858711025,1.6710290945279225,0.9653216507083334
ETHUSDT,2021-12-01 06:00:00,369626.88958333334,1746008413.9137151,1.8214549878624535,0.9710244289833332,1.6672721578635261,1.1934586231
ETHUSDT,2021-12-01 07:00:00,372175.15599999996,1768811452.839774,1.7759325322571484,0.9699655916083332,1.6267769920234907,1.1027796822583333
ETHUSDT,2021-12-01 08:00:00,370818.0331666667,1758076086.8216703,1.7747832794655378,0.9690204550333333,1.6208799446934432,0.9173561924500001
ETHUSDT,2021-12-01 09:00:00,365571.44625000004,1725254497.9905303,1.8522734258644362,0.9689840660583334,1.6896789970166752,1.2064484587083333
ETHUSDT,2021-12-01 10:00:00,365674.1415000001,1728184818.9170892,1.825070169278683,0.9700898371750001,1.6610424661336285,0.9008216538916667
ETHUSDT,2021-12-01 11:00:00,365281.6710833334,1719098343.3945506,1.8308600631215715,0.9694418691333332,1.6618831344010188,1.0251182982666667
ETHUSDT,2021-12-01 12:00:00,364193.09658333333,1708298533.9107635,1.8887898412079478,0.9808408605333332,1.6993025235735033,1.0838143787166665
ETHUSDT,2021-12-01 13:00:00,363540.1812500001,1705577985.053458,1.9309546591339026,0.9844890630500002,1.738577628925768,1.1658372847833334
ETHUSDT,2021-12-01 14:00:00,364628.0773333334,1722901964.6299505,1.9123513479492242,0.9851710367083332,1.7419143500788206,1.1235097968749999
ETHUSDT,2021-12-01 15:00:00,364549.3526666667,1725587790.5874498,1.810638141373908,0.98492156515,1.6575710234248577,0.9609075122
