create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2023-03-13 00:00:00,BTCUSDT,87565.11500000,1925171592.34400000,1.24271327,1.10296179,1.40541502,1.06540658
2023-03-13 00:05:00,BTCUSDT,88989.95300000,1955135087.43906880,1.23803440,1.11018807,1.39705416,0.89540183
2023-03-13 00:10:00,BTCUSDT,88970.60600000,1950262374.70180000,1.21760459,1.11492584,1.36015399,1.03381457
2023-03-13 00:15:00,BTCUSDT,89184.18900000,1955185717.42823800,1.21832070,1.11559932,1.35689777,1.17703564
2023-03-13 00:20:00,BTCUSDT,89340.22900000,1971653760.85233930,1.21882716,1.11281108,1.36654161,1.57625373
2023-03-13 00:25:00,BTCUSDT,88539.81800000,1954360692.75249550,1.24099135,1.11193110,1.41323332,1.21165795
2023-03-13 00:30:00,BTCUSDT,89209.33100000,1972512433.85223700,1.24152409,1.10699450,1.41433488,1.03288585
2023-03-13 00:35:00,BTCUSDT,89562.53400000,1981983052.40640000,1.23381385,1.10689000,1.40297842,1.18579218
2023-03-13 00:40:00,BTCUSDT,89868.65700000,1985998464.17730000,1.22665670,1.10599626,1.39409538,1.00463416
2023-03-13 00:45:00,BTCUSDT,88176.91400000,1981189017.25799780,1.23771343,1.10590503,1.44695904,1.36666166
2023-03-13 00:50:00,BTCUSDT,88670.76200000,1987926337.89292980,1.21727891,1.10338647,1.41768525,0.93002184
2023-03-13 00:55:00,BTCUSDT,88533.03200000,1979846488.00960000,1.20201956,1.10365727,1.39874862,1.00534981
2023-03-13 01:00:00,BTCUSDT,89106.36200000,1999252712.28540000,1.19833097,1.10048854,1.39530547,1.15333408
2023-03-13 01:05:00,BTCUSDT,89610.80500000,2003350555.87820480,1.19269549,1.09973475,1.37560291,0.84411319
2023-03-13 01:10:00,BTCUSDT,90045.18800000,2012050721.34120000,1.18560959,1.10217438,1.36372236,1.00207255
2023-03-13 01:15:00,BTCUSDT,90014.16200000,2006244644.07220000,1.18091636,1.10737723,1.34184891,0.80341812
2023-03-13 01:20:00,BTCUSDT,90287.85600000,2014450360.73329850,1.17999257,1.10530904,1.34538337,1.52416052
2023-03-13 01:25:00,BTCUSDT,90224.13600000,2011809995.36104770,1.18189410,1.10587551,1.34324448,1.15269863
2023-03-13 01:30:00,BTCUSDT,90760.42400000,2025556241.82853870,1.18420483,1.10306319,1.34271337,1.85004997
2023-03-13 01:35:00,BTCUSDT,90437.48800000,2022607287.87360000,1.18446211,1.10440280,1.34630425,0.92214618
2023-03-13 01:40:00,BTCUSDT,89965.82000000,2002378252.32200000,1.17810377,1.10522590,1.32982028,0.49224739
2023-03-13 01:45:00,BTCUSDT,90354.53600000,2016559640.80880000,1.17340311,1.10247054,1.32439515,1.71129790
2023-03-13 01:50:00,BTCUSDT,90374.28300000,2018400005.20173240,1.17319226,1.10351166,1.32433322,1.02421245
2023-03-13 01:55:00,BTCUSDT,90335.45000000,2013098402.61500000,1.17102437,1.10502445,1.31559532,0.70707140
2023-03-13 02:00:00,BTCUSDT,90364.68900000,2013853345.42155360,1.16857545,1.10421198,1.31076860,0.85620536
2023-03-13 02:05:00,BTCUSDT,90344.79300000,2014572029.72676920,1.16550102,1.10463498,1.30803823,1.45605462
2023-03-13 02:10:00,BTCUSDT,90453.72400000,2020084927.34720000,1.15975413,1.10707844,1.30284196,1.49115285
2023-03-13 02:15:00,BTCUSDT,90415.47500000,2015628477.16132040,1.15950752,1.10709233,1.29960449,0.72357362
2023-03-13 02:20:00,BTCUSDT,90020.48400000,2000822283.52920000,1.14519062,1.10984876,1.26905936,0.75462967
2023-03-13 02:25:00,BTCUSDT,89498.84600000,1985029182.62029930,1.14260190,1.11044636,1.26274014,1.00756211
2023-03-13 02:30:00,BTCUSDT,89464.84800000,1984108164.31990840,1.26162023,1.10557805,1.25473596,1.36051137
2023-03-13 02:35:00,BTCUSDT,89528.17800000,1992024742.50715880,1.25562090,1.10441362,1.24941161,1.48714382
2023-03-13 02:40:00,BTCUSDT,89594.47600000,1989446550.69662380,1.25686443,1.10548964,1.24781827,0.77349805
2023-03-13 02:45:00,BTCUSDT,89686.92700000,1989839005.88550000,1.25463955,1.10499109,1.24172905,1.01938667
2023-03-13 02:50:00,BTCUSDT,89358.03300000,1973132598.27960000,1.24976905,1.10673320,1.22231084,0.68406493
2023-03-13 02:55:00,BTCUSDT,89550.21000000,1983500967.47678260,1.24142691,1.11080420,1.21462899,1.79334681
2023-03-13 03:00:00,BTCUSDT,89673.74100000,1988828121.72357000,1.24886906,1.10924943,1.21969083,1.54209156
2023-03-13 03:05:00,BTCUSDT,90105.32500000,2001032026.00250000,1.24753206,1.11112468,1.22308673,1.25700973
2023-03-13 03:10:00,BTCUSDT,90103.65000000,2001352215.12955330,1.24953858,1.10865093,1.22405762,1.16904881
2023-03-13 03:15:00,BTCUSDT,89937.03100000,1993247436.94370000,1.25086915,1.10581162,1.22309253,0.63526792
