create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-12-23 00:00:00,BTCUSDT,99473.37300000,1672713056.37773540,1.8697135846018174,1.0675086688,1.947844072597175,0.7556827631
2022-12-23 00:05:00,BTCUSDT,99262.27600000,1667508814.47436360,1.8788111807451267,1.0670974749,1.948512969588551,0.4963852084
2022-12-23 00:10:00,BTCUSDT,99253.97100000,1667817842.78413770,1.8744673499942417,1.0675381905,1.9444444444444444,1.3699779877
2022-12-23 00:15:00,BTCUSDT,99202.00900000,1665950807.58252720,1.8703717899578383,1.0678151495,1.9390732902650925,0.6847498749
2022-12-23 00:20:00,BTCUSDT,99257.71000000,1666094871.67535780,1.8689937926277875,1.0673691438,1.9328912515976069,0.4488818614
2022-12-23 00:25:00,BTCUSDT,99298.77400000,1668179967.66701980,1.8666539050535988,1.0673644205,1.932441942294159,2.4588985941
2022-12-23 00:30:00,BTCUSDT,99420.39900000,1669610254.64232540,1.8679917279411764,1.0657615601,1.9330444765396437,1.2077882104
2022-12-23 00:35:00,BTCUSDT,99486.14300000,1671158281.49970000,1.8655330531142529,1.0655802492,1.9312971453926935,0.9614020691
2022-12-23 00:40:00,BTCUSDT,99549.49300000,1672449859.27722300,1.8634211531118747,1.0652009845,1.929719246398227,1.9160784906
2022-12-23 00:45:00,BTCUSDT,99572.70600000,1671247649.80293700,1.8680197225088866,1.0660790199,1.9299165497378332,0.2964511042
2022-12-23 00:50:00,BTCUSDT,99253.71700000,1664504684.83340000,1.8555538625628523,1.0705557351,1.9149057471264368,1.0757875783
2022-12-23 00:55:00,BTCUSDT,99197.29300000,1664639693.56230000,1.8623678081930286,1.0708652741,1.919291592260535,1.4952440129
2022-12-23 01:00:00,BTCUSDT,99187.83300000,1663930342.90051840,1.8625782323309419,1.0714813168,1.9172412525051943,1.0941733305
2022-12-23 01:05:00,BTCUSDT,99184.72000000,1663308590.15751840,1.8603631093142117,1.0714174394,1.9117312490826361,0.7352080192
2022-12-23 01:10:00,BTCUSDT,99236.31500000,1665066282.12200000,1.8579049651335595,1.0715785572,1.909719040375346,1.7001310634
2022-12-23 01:15:00,BTCUSDT,99282.29400000,1665827826.33780000,1.8620373903090424,1.0713095100,1.912988465699668,1.0378046440
2022-12-23 01:20:00,BTCUSDT,99273.61800000,1665990002.55240000,1.8636537140239713,1.0711457214,1.9146840319178209,1.2378995585
2022-12-23 01:25:00,BTCUSDT,99371.20500000,1667828599.01606440,1.8643582499809117,1.0714075592,1.9166681959150718,2.3305760303
2022-12-23 01:30:00,BTCUSDT,99386.50800000,1669227303.23133730,1.8692160611854685,1.0707619525,1.9228760573740347,1.8227410441
2022-12-23 01:35:00,BTCUSDT,99475.83600000,1670514645.07847880,1.8684984904650896,1.0700866061,1.9232650059748138,1.6344598114
2022-12-23 01:40:00,BTCUSDT,99489.18900000,1670184709.25640000,1.865768482119003,1.0697559293,1.9183482535955385,0.5493144160
2022-12-23 01:45:00,BTCUSDT,99500.36800000,1671168380.78080000,1.8683547204399633,1.0698746754,1.919145970138303,0.8461734268
2022-12-23 01:50:00,BTCUSDT,99534.14800000,1671815363.46720000,1.868122637547249,1.0693405985,1.9190685735240192,1.0266110750
2022-12-23 01:55:00,BTCUSDT,99508.70300000,1670984844.44512700,1.8716076752541855,1.0685664443,1.9202794894366197,0.8448159555
2022-12-23 02:00:00,BTCUSDT,99563.99100000,1672056423.67303200,1.8674096408534024,1.0686412261,1.916514063873425,1.1236780712
2022-12-23 02:05:00,BTCUSDT,99616.41800000,1672220962.39880000,1.8663589195788188,1.0690028063,1.9140331936540467,0.4874775719
2022-12-23 02:10:00,BTCUSDT,99623.19700000,1672048442.55575510,1.8707113929854053,1.0690260789,1.915179796870711,0.5983210083
2022-12-23 02:15:00,BTCUSDT,99657.28600000,1672694150.97483800,1.8697876890178708,1.0690399651,1.913840077529302,1.7466805426
2022-12-23 02:20:00,BTCUSDT,99680.50400000,1672242892.31259370,1.8645857153746475,1.0691741121,1.909406139358324,0.3570000129
2022-12-23 02:25:00,BTCUSDT,99690.19300000,1673728557.33490000,1.8673710711016174,1.0710799570,1.91111557348619,2.8712372456
2022-12-23 02:30:00,BTCUSDT,99696.00200000,1674533927.99280000,1.8878234398782343,1.0714846201,1.9109444018544883,1.5476144845
2022-12-23 02:35:00,BTCUSDT,99753.20400000,1675562350.15741040,1.884252925976592,1.0714289008,1.9109444018544883,1.8234578643
