create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2023-09-21 00:00:00,BTCUSDT,90357.45100000,2449659105.22133060,1.38140600,1.09238589,1.36565516,0.52712955
2023-09-21 00:05:00,BTCUSDT,90402.24900000,2449132528.78350000,1.37958558,1.09053288,1.36224514,0.60133606
2023-09-21 00:10:00,BTCUSDT,90427.68900000,2450065891.30380000,1.37910975,1.09090767,1.36140070,0.92120797
2023-09-21 00:15:00,BTCUSDT,90462.91900000,2451545104.90000000,1.37952887,1.09156885,1.36178708,1.11447117
2023-09-21 00:20:00,BTCUSDT,90471.10400000,2450427946.06080000,1.37567084,1.09172603,1.35859038,0.93027846
2023-09-21 00:25:00,BTCUSDT,90502.88300000,2451485894.40291000,1.37625765,1.09290259,1.35868012,1.15195591
2023-09-21 00:30:00,BTCUSDT,90567.75800000,2453073009.30900000,1.37530775,1.09374318,1.35740389,1.23098808
2023-09-21 00:35:00,BTCUSDT,90567.62900000,2453631034.57930000,1.37633127,1.09391044,1.35798849,1.28435897
2023-09-21 00:40:00,BTCUSDT,90523.23100000,2454605222.56797500,1.37693145,1.09517896,1.36013690,1.83808321
2023-09-21 00:45:00,BTCUSDT,90504.32200000,2455065490.73300000,1.37706363,1.09443270,1.36114426,2.36554383
2023-09-21 00:50:00,BTCUSDT,90487.21200000,2454194163.86400000,1.37598196,1.09393620,1.36074329,1.38704824
2023-09-21 00:55:00,BTCUSDT,90274.82200000,2441639800.88144400,1.38378477,1.09159159,1.36592245,0.46661587
2023-09-21 01:00:00,BTCUSDT,90392.74600000,2443702331.35038100,1.38285818,1.09227121,1.36398811,0.90063220
2023-09-21 01:05:00,BTCUSDT,90563.39900000,2447380763.25444360,1.37573065,1.09098034,1.35633918,0.54681674
2023-09-21 01:10:00,BTCUSDT,90538.62800000,2445556988.63360000,1.37594785,1.09109059,1.35605835,0.79797105
2023-09-21 01:15:00,BTCUSDT,90650.58800000,2447021972.47200000,1.37154273,1.09240885,1.35135729,0.63540693
2023-09-21 01:20:00,BTCUSDT,90808.89700000,2451529260.23151250,1.37539285,1.09103703,1.35606001,0.84583286
2023-09-21 01:25:00,BTCUSDT,90699.66200000,2447612272.55851100,1.37327177,1.09039441,1.35355310,0.82253259
2023-09-21 01:30:00,BTCUSDT,90745.19800000,2447260365.82646940,1.37538294,1.09099226,1.35479009,0.85419748
2023-09-21 01:35:00,BTCUSDT,90793.15800000,2450714528.89627740,1.37787707,1.09157314,1.35723932,1.46515882
2023-09-21 01:40:00,BTCUSDT,90777.35500000,2449390931.15103900,1.38159503,1.09064160,1.36203399,1.29567305
2023-09-21 01:45:00,BTCUSDT,90786.52300000,2450680516.62416650,1.38014855,1.09026696,1.36140169,1.06398050
2023-09-21 01:50:00,BTCUSDT,90808.57000000,2452765630.39795260,1.38421326,1.08997053,1.36676790,1.31398860
2023-09-21 01:55:00,BTCUSDT,90839.65100000,2453595466.23076870,1.38676765,1.09001738,1.36980389,0.85356691
